Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
14911;12685;"American Journal of Law and Medicine";journal;"00988588, 2375835X";"Cambridge University Press";No;No;0,374;Q2;37;22;83;5219;82;82;0,96;237,23;41,94;0;United Kingdom;Western Europe;"Cambridge University Press";"1975-2025";"Law (Q2); Health (social science) (Q3); Medicine (miscellaneous) (Q3)";"Medicine; Social Sciences"
14912;21101051704;"Central Asian Affairs";journal;"22142290, 22142282";"Brill Academic Publishers";No;No;0,374;Q2;14;11;46;698;61;45;0,78;63,45;58,33;0;Netherlands;Western Europe;"Brill Academic Publishers";"2014-2025";"Political Science and International Relations (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Social Sciences"
14913;21101165604;"Frontiers of Mathematics";journal;"27318656, 27318648";"Higher Education Press Limited Company";No;No;0,374;Q2;35;94;187;2215;125;187;0,65;23,56;42,46;0;China;Asiatic Region;"Higher Education Press Limited Company";"2023-2026";"Mathematics (miscellaneous) (Q2)";"Mathematics"
14914;21100283367;"International Journal of Prognostics and Health Management";journal;"21532648";"Prognostics and Health Management Society";Yes;Yes;0,374;Q2;31;45;85;2005;178;83;2,15;44,56;15,89;0;United States;Northern America;"Prognostics and Health Management Society";"2010-2026";"Computer Science (miscellaneous) (Q2); Safety, Risk, Reliability and Quality (Q2); Civil and Structural Engineering (Q3); Energy Engineering and Power Technology (Q3); Mechanical Engineering (Q3)";"Computer Science; Energy; Engineering"
14915;145626;"Journal of Natural Disasters";journal;"10044574";"Institute of Engineering Mechanics (IEM)";No;No;0,374;Q2;29;117;392;3712;537;392;1,32;31,73;30,65;0;China;Asiatic Region;"Institute of Engineering Mechanics (IEM)";"2003-2005, 2007-2019, 2021-2025";"Earth and Planetary Sciences (miscellaneous) (Q2); Geotechnical Engineering and Engineering Geology (Q3)";"Earth and Planetary Sciences"
14916;18319;"Journal of Veterinary Medical Science";journal;"13477439, 09167250";"Japanese Society of Veterinary Science";Yes;No;0,374;Q2;77;225;666;6898;819;460;1,15;30,66;33,54;0;Japan;Asiatic Region;"Japanese Society of Veterinary Science";"1991-2026";"Veterinary (miscellaneous) (Q2)";"Veterinary"
14917;21100465416;"Nonlinear Engineering";journal;"21928029, 21928010";"Walter de Gruyter GmbH";Yes;No;0,374;Q2;39;126;233;3532;570;232;2,61;28,03;39,16;0;Germany;Western Europe;"Walter de Gruyter GmbH";"2012-2026";"Engineering (miscellaneous) (Q2); Chemical Engineering (miscellaneous) (Q3); Computer Networks and Communications (Q3); Modeling and Simulation (Q3)";"Chemical Engineering; Computer Science; Engineering; Mathematics"
14918;21101264299;"Quaestio Facti";journal;"26604515, 26046202";"University of Girona";Yes;Yes;0,374;Q2;6;18;56;913;38;53;0,63;50,72;27,78;0;Spain;Western Europe;"University of Girona";"2020-2026";"Law (Q2)";"Social Sciences"
14919;21101176848;"Quantitative Finance and Economics";journal;"25730134";"American Institute of Mathematical Sciences";Yes;Yes;0,374;Q2;9;32;64;1881;139;64;2,17;58,78;37,50;0;United States;Northern America;"American Institute of Mathematical Sciences";"2017, 2023-2026";"Business, Management and Accounting (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Finance (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
14920;21100886347;"Risks";journal;"22279091";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,374;Q2;45;251;662;13166;1860;652;2,79;52,45;35,08;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2013-2026";"Economics, Econometrics and Finance (miscellaneous) (Q2); Accounting (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
14921;14452;"Simulation";journal;"17413133, 00375497";"SAGE Publications Ltd";No;No;0,374;Q2;58;71;215;3439;453;205;2,30;48,44;24,69;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1963-2026";"Computer Graphics and Computer-Aided Design (Q2); Mathematics (miscellaneous) (Q2); Modeling and Simulation (Q3); Software (Q3)";"Computer Science; Mathematics"
14922;21100942342;"Asian Journal of University Education";journal;"26009749, 18237797";"UiTM Press";Yes;No;0,374;Q3;25;77;214;3436;429;214;1,98;44,62;50,47;0;Malaysia;Asiatic Region;"UiTM Press";"2019-2025";"Education (Q3)";"Social Sciences"
14923;21101189038;"Complex Engineering Systems";journal;"27706249";"OAE Publishing Inc.";No;No;0,374;Q3;9;16;66;932;136;64;1,92;58,25;31,03;0;United States;Northern America;"OAE Publishing Inc.";"2021-2026";"Control and Systems Engineering (Q3)";"Engineering"
14924;29630;"Journal of Natural History";journal;"00222933, 14645262";"Taylor and Francis Ltd.";No;No;0,374;Q3;58;132;285;6027;250;283;0,89;45,66;28,43;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1967-2026";"Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences"
14925;19900192172;"Journal of Nutrition in Gerontology and Geriatrics";journal;"21551200, 21551197";"Routledge";No;No;0,374;Q3;34;16;40;629;54;40;0,92;39,31;59,60;0;United States;Northern America;"Routledge";"2011-2026";"Geriatrics and Gerontology (Q3); Nutrition and Dietetics (Q3)";"Medicine; Nursing"
14926;25897;"Journal of Organometallic Chemistry";journal;"0022328X";"Elsevier B.V.";No;No;0,374;Q3;139;310;745;20704;1879;734;2,74;66,79;36,18;0;Netherlands;Western Europe;"Elsevier B.V.";"1963-2026";"Biochemistry (Q3); Inorganic Chemistry (Q3); Materials Chemistry (Q3); Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science"
14927;4700152787;"Journal of Social Work in End-of-Life and Palliative Care";journal;"15524256, 15524264";"Routledge";No;No;0,374;Q3;32;35;104;725;84;56;0,79;20,71;79,07;0;United States;Northern America;"Routledge";"2005-2026";"Health (social science) (Q3); Life-span and Life-course Studies (Q3); Medicine (miscellaneous) (Q3); Social Work (Q3)";"Medicine; Social Sciences"
14928;21100434810;"Microbial Risk Analysis";journal;"23523522";"Elsevier B.V.";No;No;0,374;Q3;27;19;83;1132;175;83;2,17;59,58;46,34;0;Netherlands;Western Europe;"Elsevier B.V.";"2016-2026";"Epidemiology (Q3); Infectious Diseases (Q3); Microbiology (medical) (Q3)";"Medicine"
14929;26442;"Polycyclic Aromatic Compounds";journal;"15635333, 10406638";"Taylor and Francis Ltd.";No;No;0,374;Q3;49;110;1448;6793;4206;1447;3,04;61,75;39,15;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990-2026";"Materials Chemistry (Q3); Organic Chemistry (Q3); Polymers and Plastics (Q3)";"Chemistry; Materials Science"
14930;21101291056;"Power Electronics and Drives";journal;"25434292, 24510262";"Sciendo";Yes;No;0,374;Q3;8;31;55;874;136;55;2,47;28,19;14,74;0;Poland;Eastern Europe;"Sciendo";"2023-2026";"Electrical and Electronic Engineering (Q3); Energy Engineering and Power Technology (Q3); Nuclear Energy and Engineering (Q3)";"Energy; Engineering"
14931;17896;"Seminars in Roentgenology";journal;"0037198X, 15584658";"W.B. Saunders";No;No;0,374;Q3;35;43;141;2126;160;116;1,03;49,44;35,17;0;United States;Northern America;"W.B. Saunders";"1966-2026";"Radiology, Nuclear Medicine and Imaging (Q3)";"Medicine"
14932;95165;"Proceedings of the IEEE Workshop on Computers in Power Electronics, COMPEL";conference and proceedings;"10935142";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,374;-;25;0;87;0;93;86;0,00;0,00;0,00;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2022";"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Engineering (miscellaneous); Software";"Computer Science; Engineering; Materials Science"
14933;56297;"Anthropological Science";journal;"09187960, 13488570";"Anthropological Society of Nippon";No;No;0,373;Q1;36;11;48;427;34;45;0,36;38,82;32,50;0;Japan;Asiatic Region;"Anthropological Society of Nippon";"1993-2026";"Anthropology (Q1)";"Social Sciences"
14934;21100838187;"European Journal of Humour Research";journal;"2307700X";"Cracow Tertium Society for the Promotion of Language Studies";Yes;Yes;0,373;Q1;13;56;134;2542;174;134;1,42;45,39;44,87;0;Poland;Eastern Europe;"Cracow Tertium Society for the Promotion of Language Studies";"2017-2025";"Cultural Studies (Q1); Linguistics and Language (Q1); Communication (Q2); Applied Psychology (Q3)";"Psychology; Social Sciences"
14935;38295;"Historical Archaeology";journal;"04409213, 23281103";"Springer Science and Business Media Deutschland GmbH";No;No;0,373;Q1;31;26;166;2446;96;149;0,55;94,08;70,37;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1968, 1971, 1977, 1981, 1983-1984, 1987, 1990-1991, 1993, 1996, 1998-2026";"Archeology (Q1); Archeology (arts and humanities) (Q1); History (Q1)";"Arts and Humanities; Social Sciences"
14936;5700164168;"History and Anthropology";journal;"14772612, 02757206";"Routledge";No;No;0,373;Q1;37;46;151;3221;139;151;0,89;70,02;40,00;0;United Kingdom;Western Europe;"Routledge";"1984-1987, 1989-2026";"Anthropology (Q1); Cultural Studies (Q1); History (Q1)";"Arts and Humanities; Social Sciences"
14937;21101046167;"Journal of Cultural Analytics";journal;"23714549";"Department of Languages, Literatures, and Cultures, McGill University";Yes;Yes;0,373;Q1;13;13;64;669;57;64;0,61;51,46;48,65;0;Canada;Northern America;"Department of Languages, Literatures, and Cultures, McGill University";"2019-2025";"History (Q1); Literature and Literary Theory (Q1); Arts and Humanities (miscellaneous) (Q2); Computer Science (miscellaneous) (Q2)";"Arts and Humanities; Computer Science"
14938;21100902635;"Revista Electronica Interuniversitaria de Formacion del Profesorado";journal;"15750965";"Universidad de Murcia Servicio de Publicaciones";Yes;Yes;0,373;Q1;18;31;142;1223;235;141;1,76;39,45;50,00;0;Spain;Western Europe;"Universidad de Murcia Servicio de Publicaciones";"2019-2025";"Cultural Studies (Q1); Education (Q3)";"Social Sciences"
14939;21101046765;"Advances in Weed Science";journal;"26759462";"Sociedade Brasileira da Ciencia das Plantas Daninha";Yes;No;0,373;Q2;40;38;109;1507;201;107;1,14;39,66;24,18;0;Brazil;Latin America;"Sociedade Brasileira da Ciencia das Plantas Daninha";"2021-2025";"Agronomy and Crop Science (Q2); Plant Science (Q2); Biochemistry (Q3); Physiology (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
14940;21100842838;"AIMS Agriculture and Food";journal;"24712086";"AIMS Press";Yes;No;0,373;Q2;28;53;171;2925;393;169;2,20;55,19;39,50;0;United States;Northern America;"AIMS Press";"2016-2025";"Agricultural and Biological Sciences (miscellaneous) (Q2); Food Science (Q3)";"Agricultural and Biological Sciences"
14941;21100198528;"International Journal of Geoinformatics";journal;"16866576, 26730014";"Association for Geoinformation Technology";No;No;0,373;Q2;18;107;245;4528;535;238;2,33;42,32;33,49;0;Thailand;Asiatic Region;"Association for Geoinformation Technology";"2008-2026";"Geography, Planning and Development (Q2); Earth and Planetary Sciences (miscellaneous) (Q3); Instrumentation (Q3)";"Earth and Planetary Sciences; Physics and Astronomy; Social Sciences"
14942;21100208059;"Journal of International Political Theory";journal;"17551722, 17550882";"SAGE Publications Ltd";No;No;0,373;Q2;22;50;69;2354;84;68;1,00;47,08;40,82;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2008-2009, 2014-2026";"Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Social Sciences"
14943;21101041900;"Journal of International Studies (Malaysia)";journal;"2289666X, 1823691X";"Universiti Utara Malaysia Press";Yes;No;0,373;Q2;8;11;50;803;82;50;1,75;73,00;38,10;0;Malaysia;Asiatic Region;"Universiti Utara Malaysia Press";"2019-2025";"Political Science and International Relations (Q2); Business and International Management (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Social Sciences"
14944;28242;"Journal of Perinatal and Neonatal Nursing";journal;"08932190, 15505073";"Lippincott Williams and Wilkins";No;No;0,373;Q2;54;72;234;2048;217;196;0,90;28,44;72,73;0;United States;Northern America;"Lippincott Williams and Wilkins";"1987-2026";"Critical Care Nursing (Q2); Maternity and Midwifery (Q2); Medicine (miscellaneous) (Q3); Pediatrics (Q3)";"Medicine; Nursing"
14945;21101049098;"Plasma Physics and Technology";journal;"23362634, 23362626";"Czech Technical University";No;No;0,373;Q2;6;39;51;632;61;51;1,22;16,21;18,48;0;Czech Republic;Eastern Europe;"Czech Technical University";"2019-2025";"Physics and Astronomy (miscellaneous) (Q2); Condensed Matter Physics (Q3)";"Physics and Astronomy"
14946;21100203931;"Psyche: Journal of Entomology";journal;"00332615, 16877438";"John Wiley and Sons Inc";Yes;No;0,373;Q2;34;15;33;765;68;33;1,76;51,00;37,74;0;United States;Northern America;"John Wiley and Sons Inc";"1874-1885, 1888-1910, 1912-1995, 2009-2025";"Insect Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences"
14947;89299;"Revista Brasileira de Estudos de Populacao";journal;"01023098";"Associacao Brasileira de Estudos Populacionais";Yes;Yes;0,373;Q2;19;28;103;1207;74;95;0,50;43,11;43,10;0;Brazil;Latin America;"Associacao Brasileira de Estudos Populacionais";"1984-1992, 1996, 2007-2025";"Demography (Q2)";"Social Sciences"
14948;130177;"Zebrafish";journal;"15458547";"Mary Ann Liebert Inc.";No;No;0,373;Q2;64;30;110;1119;156;109;1,19;37,30;41,78;0;United States;Northern America;"Mary Ann Liebert Inc.";"2005-2025";"Animal Science and Zoology (Q2); Developmental Biology (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
14949;21100298667;"Center for Educational Policy Studies Journal";journal;"18559719, 22322647";"University of Ljubljana";Yes;Yes;0,373;Q3;26;48;127;2053;159;114;0,79;42,77;66,67;0;Slovenia;Eastern Europe;"University of Ljubljana";"2011-2025";"Education (Q3)";"Social Sciences"
14950;19900191845;"Frontiers of Materials Science";journal;"20950268, 2095025X";"Higher Education Press Limited Company";No;No;0,373;Q3;47;40;127;2373;275;126;2,45;59,33;40,97;0;China;Asiatic Region;"Higher Education Press Limited Company";"2011-2026";"Materials Science (miscellaneous) (Q3)";"Materials Science"
14951;21100255536;"Journal of Mathematical Physics, Analysis, Geometry";journal;"18175805, 18129471";"B.Verkin Institute for Low Temperature Physics and Engineering of the NAS of Ukraine";Yes;Yes;0,373;Q3;16;22;90;532;70;90;0,62;24,18;18,92;0;Ukraine;Eastern Europe;"B.Verkin Institute for Low Temperature Physics and Engineering of the NAS of Ukraine";"2008-2025";"Analysis (Q3); Geometry and Topology (Q3); Mathematical Physics (Q3)";"Mathematics"
14952;12991;"RAIRO - Operations Research";journal;"12903868, 03990559";"EDP Sciences";No;No;0,373;Q3;43;175;628;7805;1337;628;1,84;44,60;36,23;0;France;Western Europe;"EDP Sciences";"1977-1978, 1995-2026";"Computer Science Applications (Q3); Management Science and Operations Research (Q3); Theoretical Computer Science (Q3)";"Computer Science; Decision Sciences; Mathematics"
14953;21101060167;"Software Impacts";journal;"26659638";"Elsevier B.V.";No;No;0,373;Q3;25;78;416;1407;807;415;1,85;18,04;22,53;0;Netherlands;Western Europe;"Elsevier B.V.";"2019-2026";"Software (Q3)";"Computer Science"
14954;21101038537;"SynOpen";journal;"25099396";"Georg Thieme Verlag";Yes;No;0,373;Q3;17;22;130;1201;285;129;2,47;54,59;39,25;0;Germany;Western Europe;"Georg Thieme Verlag";"2017-2026";"Biomaterials (Q3); Catalysis (Q3); Materials Science (miscellaneous) (Q3); Organic Chemistry (Q3)";"Chemical Engineering; Chemistry; Materials Science"
14955;19659;"Theoretical Medicine and Bioethics";journal;"15731200, 13867415";"Springer Science and Business Media B.V.";No;No;0,373;Q3;47;33;98;1302;135;81;1,39;39,45;32,50;0;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1997-2026";"Issues, Ethics and Legal Aspects (Q3); Medicine (miscellaneous) (Q3)";"Medicine; Nursing"
14956;21100332435;"World Journal for Pediatric and Congenital Heart Surgery";journal;"2150136X, 21501351";"SAGE Publications Inc.";No;No;0,373;Q3;39;169;429;2905;392;376;0,82;17,19;31,14;0;United States;Northern America;"SAGE Publications Inc.";"2010-2026";"Cardiology and Cardiovascular Medicine (Q3); Medicine (miscellaneous) (Q3); Pediatrics, Perinatology and Child Health (Q3); Surgery (Q3)";"Medicine"
14957;21101166827;"Dissertationes Archaeologicae ex Instituto Archaeologico Universitatis de Rolando Eotvos Nominatae";journal;"20644574";"Eotvos Lorand Tudomanyegyetem";Yes;Yes;0,372;Q1;7;37;81;2391;45;80;0,42;64,62;39,47;0;Hungary;Eastern Europe;"Eotvos Lorand Tudomanyegyetem";"2019-2025";"Archeology (Q1); Archeology (arts and humanities) (Q1)";"Arts and Humanities; Social Sciences"
14958;5700183126;"Sign Language Studies";journal;"15336263, 03021475";"Gallaudet University Press";No;No;0,372;Q1;37;20;80;1085;49;77;0,57;54,25;65,79;0;United States;Northern America;"Gallaudet University Press";"2002-2025";"Linguistics and Language (Q1)";"Social Sciences"
14959;21101226574;"Annals of Dental Specialty";journal;"23472022, 23218436";"";No;No;0,372;Q2;10;68;179;2786;344;179;2,53;40,97;53,54;0;Turkey;Middle East;"";"2020-2025";"Dental Assisting (Q2); Dentistry (miscellaneous) (Q2); Oral Surgery (Q2); Dental Hygiene (Q3)";"Dentistry"
14960;21100775648;"Cogent Arts and Humanities";journal;"23311983";"Cogent OA";Yes;No;0,372;Q2;27;354;695;18868;1150;695;1,56;53,30;41,96;0;United Kingdom;Western Europe;"Cogent OA";"2014-2026";"Arts and Humanities (miscellaneous) (Q2)";"Arts and Humanities"
